Screaming Circuits SMD component position file.

Centroid Data for pc board: "ElectroLab.brd" as of: 03/03/2020 18:59
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
AR1,Bottom,5.415,2.323,0
AR2,Bottom,6.025,2.323,0
AR3,Bottom,6.576,2.323,0
AR4,Bottom,4.043,3.701,0
C1,Bottom,1.341,1.487,180
C2,Bottom,0.646,1.487,180
C3,Bottom,1.341,1.387,180
C4,Bottom,0.646,1.387,180
C5,Bottom,1.341,1.287,180
C6,Bottom,0.646,1.287,180
C7,Bottom,1.341,1.187,180
C8,Bottom,0.646,1.187,180
C9,Bottom,1.341,1.087,180
C10,Bottom,0.646,1.087,180
C11,Bottom,1.341,0.987,180
C12,Bottom,0.646,0.987,180
C13,Bottom,1.341,0.887,180
C14,Bottom,0.646,0.887,180
C15,Bottom,1.341,0.787,180
C16,Bottom,0.646,0.787,180
C17,Bottom,1.341,0.689,0
C18,Bottom,0.648,0.689,0
C19,Bottom,1.348,0.539,0
C20,Bottom,0.648,0.539,0
C21,Bottom,5.924,0.326,0
C22,Bottom,3.287,1.634,0
C23,Bottom,1.287,2.976,270
C24,Bottom,1.791,2.980,270
C25,Bottom,1.535,2.728,0
C26,Bottom,2.024,2.976,90
C27,Bottom,1.548,3.402,180
C28,Bottom,3.602,1.634,0
C29,Bottom,4.697,1.838,90
C30,Bottom,4.586,1.838,90
C31,Bottom,4.469,1.835,90
C32,Bottom,4.455,1.989,90
C33,Bottom,4.357,1.989,90
C34,Bottom,4.734,1.993,270
C35,Bottom,1.349,0.335,0
C36,Bottom,0.649,0.335,0
D1,Bottom,5.433,3.613,180
D2,Bottom,5.433,3.513,180
D3,Bottom,5.433,3.413,180
D4,Bottom,5.433,3.313,180
IC1,Bottom,5.724,2.681,270
IC2,Bottom,6.527,2.681,270
IC3,Bottom,5.329,1.835,0
IC4,Bottom,5.926,1.839,0
IC5,Bottom,6.484,1.835,0
IC6,Bottom,5.554,1.132,0
IC7,Bottom,6.416,1.132,0
IC8,Bottom,5.918,0.555,90
IC9,Bottom,3.445,1.811,270
IC10,Bottom,4.028,3.421,180
IC11,Bottom,1.539,3.000,270
IC13,Top,4.588,1.837,0
IC14,Bottom,4.588,1.987,180
JC1,Top,2.047,3.917,270
L0,Top,1.299,3.619,0
L1,Top,0.594,3.527,0
L2,Top,0.594,3.388,0
L3,Top,0.594,3.248,0
L4,Top,0.594,3.109,0
L5,Top,0.594,2.970,0
L6,Top,0.594,2.830,0
L7,Top,0.594,2.691,0
L8,Top,3.044,2.947,90
L9,Top,3.144,2.947,90
L10,Top,3.244,2.947,90
L11,Top,3.344,2.947,90
L12,Top,3.444,2.947,90
L13,Top,3.544,2.947,90
L14,Top,3.644,2.947,90
L15,Top,3.744,2.947,90
L16,Top,3.844,2.947,90
NTC,Top,3.917,1.850,90
PB1,Top,2.126,1.201,90
PB2,Top,2.520,1.201,90
PB3,Top,2.913,1.201,90
PB4,Top,2.126,0.748,90
PB5,Top,2.520,0.748,90
PB6,Top,2.913,0.748,90
PB7,Top,2.126,0.295,90
PB8,Top,2.520,0.295,90
PB9,Top,2.913,0.295,90
R1,Bottom,0.489,2.510,180
R2,Bottom,0.990,2.510,180
R3,Bottom,1.493,2.510,180
R4,Bottom,0.489,2.410,180
R5,Bottom,0.990,2.410,180
R6,Bottom,1.493,2.410,180
R7,Bottom,0.489,2.310,180
R8,Bottom,0.990,2.310,180
R9,Bottom,1.493,2.310,180
R10,Bottom,0.489,2.210,180
R11,Bottom,0.990,2.210,180
R12,Bottom,1.493,2.210,180
R13,Bottom,0.489,2.110,180
R14,Bottom,0.990,2.110,180
R15,Bottom,1.493,2.110,180
R16,Bottom,0.489,2.010,180
R17,Bottom,0.990,2.010,180
R18,Bottom,1.493,2.010,180
R19,Bottom,0.489,1.910,180
R20,Bottom,0.990,1.910,180
R21,Bottom,1.493,1.910,180
R22,Bottom,0.489,1.810,180
R23,Bottom,0.990,1.810,180
R24,Bottom,1.493,1.810,180
R25,Bottom,0.489,1.710,180
R26,Bottom,0.990,1.710,180
R27,Bottom,1.493,1.710,180
R28,Bottom,0.489,1.610,180
R29,Bottom,0.990,1.610,180
R30,Bottom,1.493,1.610,180
R31,Bottom,1.299,3.619,0
R32,Bottom,0.594,3.527,180
R33,Bottom,0.594,3.388,180
R34,Bottom,0.594,3.248,180
R35,Bottom,0.594,3.109,180
R36,Bottom,0.594,2.970,180
R37,Bottom,0.594,2.830,180
R38,Bottom,0.594,2.691,180
R39,Bottom,3.618,1.811,90
R40,Bottom,3.268,1.811,270
R41,Bottom,4.449,3.642,90
R42,Bottom,4.567,3.642,90
R43,Bottom,4.350,3.386,90
R44,Bottom,5.020,3.386,90
R45,Bottom,4.685,3.642,270
R46,Bottom,4.921,3.642,90
R47,Bottom,4.803,3.642,90
R48,Bottom,3.044,2.947,90
R49,Bottom,3.144,2.947,90
R50,Bottom,3.244,2.947,90
R51,Bottom,3.344,2.947,90
R52,Bottom,3.444,2.947,90
R53,Bottom,3.544,2.947,90
R54,Bottom,3.644,2.947,90
R55,Bottom,3.744,2.947,90
R56,Bottom,3.844,2.947,90
R57,Bottom,3.445,3.453,0
R58,Bottom,3.445,3.642,0
R59,Bottom,3.445,3.831,0
R60,Bottom,1.913,2.980,90
R67,Bottom,3.445,1.634,0
RGB,Top,3.444,3.639,180
T1,Bottom,5.866,3.248,0
T2,Bottom,6.260,3.248,0
T3,Bottom,6.654,3.248,0
T4,Bottom,5.866,3.602,0
T5,Bottom,6.260,3.602,0
U$15,Top,3.445,1.043,0
U$16,Top,3.445,0.354,0
U1,Top,1.299,3.924,180
