No.,part number/description,Package,Value,Qty,RefDefs,Note,Supplier links
1,Resistor,1206,100 Ohm,3,"R1, R2, R3",5% 1/4W ,
2,Resistor,1206,150 Ohm,2,"R57,R58",5% 1/4W ,
3,Resistor,1206,220 Ohm,1,R59,5% 1/4W ,
4,Resistor,1206,330 Ohm,23,"R32 - R38, R41 - R56",5% 1/4W ,
5,Resistor,1206,470 Ohm,4,"R4, R5, R6, R31",5% 1/4W ,
6,Resistor,1206,1 kOhm,3,R7 - R9,5% 1/4W ,
7,Resistor,0603,1 kOhm,3,R61 - R63,5% 1/4W ,
8,Resistor,0603,2 kOhm,3,R64 - R65,5% 1/4W ,
9,Resistor,1206,"4,7 kOhm",3,"R10, R11, R12",5% 1/4W ,
10,Resistor,1206,10 kOhm,7,"R13 - R18, R60",5% 1/4W ,
11,Resistor,0603,10 kOhm,1,R67,,
12,Resistor,1206,15 kOhm,3,"R19, R20, R21",5% 1/4W ,
13,Resistor,1206,47 kOhm,3,"R22, R23, R24",5% 1/4W ,
14,Resistor,1206,100 kOhm,3,"R25, R26, R27",5% 1/4W ,
15,Resistor,0603,100 kOhm,1,R39,5% 1/4W ,
16,Resistor,1206,470 kOhm,3,"R28, R29, R30",5% 1/4W ,
17,Resistor,0603,1 MOhm,1,R40,5% 1/4W ,
18,Bussed Resistor Array,1206,CAY17-102JALF,4,AR1 - AR4,,
19,Capacitor,1206,10 pF,2,"C1, C2",5% 25V,
20,Capacitor,1206,100 pF,2,"C3, C4",5% 25V,
21,Capacitor,1206,1 nF,2,"C5, C6",10% 25V,
22,Capacitor,1206,10 nF,3,"C7, C8, C21",10% 25V,
23,Capacitor,0603,10 nF,4, C28 - C31 ,10% 25V,
24,Capacitor,1206,47 nF,2,"C9, C10",20% 25V,
25,Capacitor,1206,100 nF,3,"C11, C12, C25",20% 25V,
26,Capacitor,0603,100 nF,2,"C22, C32",20% 25V,
27,Capacitor,1206,470 nF,1,C26,20% 25V,
28,Capacitor,1206,1 uF,4,"C13, C14, C23, C24",20% 25V,
29,Capacitor,1206,10 uF,2,"C15, C16",20% 25V,
30,Capacitor,0603,10 uF,2,"C33, C34",20% 25V,
